id,totalTime,pageSize,leve0,level1
1000,0.713291,0.060427,73,928
2000,1.598917,0.223593,112,1889
3000,2.639447,0.319695,142,2859
4000,3.491575,0.404931,172,3829
5000,4.375447,0.533787,219,4782
6000,5.350906,0.656152,261,5740
7000,6.172467,0.797864,286,6715
8000,7.259634,0.958883,323,7678
9000,8.206829,1.107128,344,8657
10000,9.400531,1.183640,388,9613
11000,10.247438,1.411911,429,10572
12000,11.283428,1.518797,459,11542
13000,12.329996,1.585157,503,12498
14000,13.335572,1.664243,540,13461
15000,14.434281,1.723050,577,14424
16000,15.625969,1.774973,634,15367
17000,16.958731,1.836619,676,16325
18000,18.221624,1.903904,705,17296
19000,19.377495,2.034910,737,18264
20000,20.647839,2.108635,768,19233
21000,22.195906,2.261106,794,20207
22000,23.831400,2.404522,843,21158
23000,25.034076,2.475567,881,22120
24000,26.300586,2.633945,942,23059
25000,27.322475,2.686827,987,24014
26000,28.276241,2.779928,1011,24990
27000,29.632628,2.852531,1041,25960
28000,30.840731,2.902723,1076,26925
29000,32.342784,2.967238,1108,27893
30000,34.182762,3.138625,1139,28862
31000,35.671947,3.192421,1167,29834
32000,36.877156,3.251495,1203,30798
33000,37.930074,3.301777,1234,31767
34000,38.915417,3.368654,1274,32727
35000,39.859072,3.395820,1301,33700
36000,40.579086,3.439506,1332,34669
37000,41.476969,3.472245,1389,35612
38000,42.418337,3.505049,1434,36567
39000,43.309937,3.567354,1474,37527
40000,44.206935,3.635238,1512,38489
41000,45.174766,3.685669,1571,39430
42000,46.149044,3.740338,1607,40394
43000,47.247879,3.824094,1643,41358
44000,48.320445,3.994197,1679,42322
45000,50.028808,4.073071,1701,43300
46000,51.710058,4.195425,1727,44274
47000,53.060388,4.311244,1757,45244
48000,54.669967,4.362604,1783,46218
49000,56.152950,4.410543,1819,47182
50000,57.908337,4.447881,1896,48105
51000,59.626559,4.948130,1940,49061
52000,61.478634,4.978535,1965,50036
53000,63.152476,5.089743,1996,51005
54000,64.844793,5.183865,2030,51971
55000,66.623236,5.220381,2055,52946
56000,69.063769,5.262895,2091,53910
57000,71.357223,5.449426,2117,54884
58000,73.148159,5.481935,2139,55862
59000,74.064711,5.516207,2164,56837
60000,75.281780,5.683503,2207,57794
61000,76.798166,5.736422,2252,58749
62000,78.252288,5.780845,2279,59722
63000,79.572299,5.862791,2301,60700
64000,80.725332,5.996730,2317,61684
65000,82.087844,6.232697,2346,62655
66000,83.601999,6.346308,2379,63622
67000,84.887105,6.387346,2404,64597
68000,86.262471,6.439409,2434,65567
69000,88.006560,6.501969,2464,66537
70000,89.967527,6.540270,2492,67509
71000,91.390981,6.582809,2516,68485
72000,92.643476,6.616370,2540,69461
73000,93.602988,6.662030,2562,70439
74000,94.389231,6.686876,2577,71424
75000,95.224410,6.755683,2599,72402
76000,96.125892,6.813119,2626,73375
77000,97.526219,6.916279,2669,74332
78000,98.897520,6.964565,2717,75284
79000,100.683991,7.000778,2760,76241
80000,101.788973,7.051994,2803,77198
81000,103.134355,7.125055,2850,78151
82000,104.699360,7.208370,2892,79109
83000,106.100410,7.242294,2937,80064
84000,107.254852,7.286890,2971,81030
85000,108.376544,7.362723,3001,82000
86000,109.647911,7.446413,3050,82951
87000,110.983898,7.520090,3079,83922
88000,111.950803,7.579899,3103,84898
89000,112.977239,7.690306,3143,85858
90000,114.076367,7.716300,3179,86822
91000,115.148558,7.798292,3222,87779
92000,116.288971,7.880347,3257,88744
93000,117.585547,7.955368,3284,89717
94000,118.291014,8.133725,3307,90694
95000,119.175389,8.307757,3323,91678
96000,120.457776,8.494943,3366,92635
97000,122.060766,8.667825,3396,93605
98000,123.790488,8.697846,3405,94596
99000,125.434786,8.863636,3413,95588
100000,126.918180,9.027921,3443,96558
