id,time,size,level
1,0.534831,110.739000,0
0,0.532568,424.491000,0
2,0.140331,70.575000,1
3,0.141798,69.344000,1
4,0.943472,170.445000,0
5,0.140755,70.682000,1
6,0.143641,78.995000,1
7,0.141429,70.793000,1
8,0.759704,122.590000,1
9,0.139537,69.754000,1
10,0.145092,68.941000,1
11,0.315832,0.983000,1
12,0.139534,89.274000,1
13,0.790599,122.590000,1
14,0.146892,85.777000,1
15,1.218414,113.513000,1
16,0.406095,119.715000,0
17,0.412009,1.233000,0
18,0.410306,18.001000,0
19,0.474283,234.447000,0
20,0.519866,0.732000,0
21,0.654748,177.052000,0
22,0.134832,28.275000,1
23,0.754617,14.114000,0
24,0.760267,507.844000,0
25,0.773835,19.593000,0
26,0.133368,21.270000,1
27,0.799902,605.913000,0
28,0.311484,9.085000,1
29,0.131817,15.111000,1
30,0.929951,45.893000,0
31,0.714214,74.551000,1
32,0.140378,20.448000,1
33,1.170865,46.041000,0
34,0.987189,122.590000,1
35,0.135783,11.279000,1
36,0.396918,122.590000,1
37,0.128658,0.806000,1
38,0.440367,122.590000,1
39,1.367150,27.040000,0
40,0.398708,107.895000,1
41,0.540383,9.661000,1
42,0.654047,25.694000,0
43,0.135830,0.737000,1
44,0.252731,48.012000,1
45,0.132313,0.806000,1
46,0.794003,631.299000,0
47,0.172378,9.747000,1
48,1.023615,45.892000,0
49,0.139815,0.740000,1
50,0.473806,122.590000,1
51,0.447428,122.590000,1
52,0.160846,9.676000,1
53,0.130576,15.456000,1
54,0.740874,122.590000,1
55,0.585236,228.449000,1
56,1.104396,15.544000,1
57,0.132745,14.821000,1
58,0.264809,12.968000,1
59,1.000224,40.225000,0
60,0.143552,27.552000,1
61,1.923172,83.907000,1
62,0.447144,122.590000,1
63,0.476335,122.590000,1
64,0.260387,13.813000,1
65,0.455033,122.590000,1
66,0.134784,26.703000,1
67,0.209288,11.066000,1
68,0.683705,83.392000,0
69,0.143194,85.346000,1
70,0.425611,105.420000,1
71,0.136846,101.251000,1
72,0.177635,9.126000,1
73,0.275867,11.461000,1
74,0.134375,125.883000,1
75,0.759665,629.363000,0
76,0.757842,495.706000,0
77,0.334627,20.557000,1
78,0.456305,122.590000,1
79,0.733882,122.590000,1
80,0.448910,122.590000,1
81,0.456510,122.590000,1
82,0.130886,87.972000,1
83,0.238291,8.897000,1
84,0.402722,39.385000,0
85,0.133689,125.433000,1
86,0.484506,119.356000,1
87,0.198480,605.913000,1
88,0.340718,20.196000,1
