id,numcrawled,avgCrawlingTime,avgPageSize
20,0,0,0
21,0,0,0
17,1,0.311484,9.085
30,0,0,0
42,0,0,0
48,0,0,0
16,0,0,0
59,0,0,0
68,0,0,0
93,0,0,0
106,0,0,0
108,0,0,0
143,0,0,0
174,0,0,0
39,20,0.240113,12.5412
285,0,0,0
18,49,0.187503,16.2375
436,0,0,0
33,10,1.02213,45.6855
495,0,0,0
76,48,0.220939,292.535
565,0,0,0
582,0,0,0
324,12,0.604979,44.8532
4,26,0.636014,154.588
166,18,0.61815,40.2674
624,0,0,0
90,26,0.546187,53.8597
23,48,0.343398,13.8786
640,0,0,0
645,0,0,0
660,0,0,0
666,0,0,0
681,0,0,0
0,22,1.0075,122.59
696,0,0,0
705,0,0,0
712,0,0,0
716,0,0,0
726,0,0,0
738,0,0,0
743,0,0,0
754,0,0,0
757,0,0,0
734,1,2.48885,10.884
91,47,0.500826,35.1789
769,0,0,0
24,122,0.237083,254.371
817,0,0,0
833,0,0,0
843,0,0,0
796,10,0.719181,145.715
911,0,0,0
942,0,0,0
972,0,0,0
976,0,0,0
653,21,0.997253,31.9979
1050,0,0,0
317,37,0.981742,26.4064
1228,0,0,0
1251,0,0,0
46,103,0.460349,382.246
75,105,0.450617,358.887
779,58,0.419249,98.5009
1315,0,0,0
27,116,0.442582,392.661
777,17,1.52281,24.5912
84,28,1.85083,11.8838
1353,0,0,0
1400,0,0,0
1065,5,3.15554,88.0224
1413,0,0,0
934,12,1.77491,83.0068
1423,0,0,0
1366,6,0.748101,1.927
1427,0,0,0
1468,0,0,0
1008,36,0.641735,57.2003
1518,0,0,0
1545,0,0,0
1437,9,0.95479,34.2638
1524,3,0.949455,40.336
556,51,1.14977,80.61
1436,14,0.987622,84.9073
1680,0,0,0
1612,11,0.469368,36.6842
675,54,1.0864,52.0146
1461,21,0.806869,81.661
1779,2,0.280042,17.125
1361,38,0.851124,62.6845
744,48,1.32261,85.5602
1725,15,0.71221,230.263
1943,0,0,0
1928,0,0,0
1,116,0.808543,77.4343
1624,39,0.589769,46.3334
2004,5,0.779894,32.0194
1329,33,1.56894,17.7139
2102,18,0.462734,25.8827
19,59,1.835,231.817
25,38,2.87058,29.1927
2320,0,0,0
1043,20,3.86244,134.592
1777,17,2.89905,71.1678
1944,55,0.745041,66.4286
2336,16,1.2091,23.4193
2317,14,1.617,20.0676
2003,27,1.54562,186.066
2059,58,0.690168,153.44
2684,0,0,0
2353,54,0.392415,18.91
2668,1,2.02229,32.644
2671,10,0.311548,20.8342
1385,52,1.63166,331.566
1651,41,1.66421,341.518
2819,0,0,0
2629,16,0.564216,25.3287
2842,0,0,0
2863,0,0,0
2715,7,1.11931,15.7041
816,99,1.18105,209.842
2741,9,0.98781,182.344
2724,14,0.86081,18.8416
2728,20,0.722812,23.1638
2924,14,0.486101,149.563
2963,16,0.327767,131.544
2922,11,0.781989,18.6711
1587,45,1.98397,325.804
3089,0,0,0
2309,52,0.966192,28.0507
2860,10,1.66777,42.7027
2894,21,0.842918,66.4544
3096,13,0.477854,39.016
2994,17,0.895131,22.9347
3246,8,0.475643,150.521
3135,23,0.527923,46.7755
3392,0,0,0
3006,29,0.768004,54.8039
3125,31,0.560067,75.54
1772,80,1.25466,102.045
3510,2,0.773477,24.3235
3286,18,0.802384,41.8587
2422,72,0.923418,153.334
3299,37,0.457721,113.862
3592,3,1.22694,16.144
2055,51,1.84493,412.15
3199,23,0.997852,48.4034
3680,0,0,0
3692,0,0,0
3718,1,0.622252,15.379
3410,37,0.430954,30.2849
3556,16,0.906408,28.0137
3690,10,0.805632,316.584
3705,8,1.30953,202.59
3191,20,1.8664,93.1707
3694,28,0.44346,40.9741
3946,11,0.342833,77.3155
4041,0,0,0
4028,2,0.408914,10.855
678,320,0.593983,19.3938
3753,19,0.836774,40.5634
4004,6,0.840259,29.7378
4060,8,0.688766,43.1644
4139,0,0,0
3780,30,0.713225,27.7299
4083,8,0.98735,32.337
4128,4,1.38058,29.4168
3523,33,1.13315,46.7795
2650,67,1.28534,237.358
3713,31,0.980456,293.655
4261,11,0.158747,91.8983
4292,1,0.358556,16.805
4089,27,0.602672,111.44
1888,43,3.301,64.7032
4397,0,0,0
4374,5,0.399599,10.7014
4319,17,0.285051,233.486
4188,28,0.428215,71.1875
4398,5,0.262754,44.161
4430,0,0,0
3472,43,1.2054,53.2331
4451,0,0,0
4476,0,0,0
4148,10,1.98108,54.8545
1559,210,0.799923,147.001
3161,129,0.575125,56.4211
4446,12,0.846671,119.369
4541,15,0.439314,18.051
4119,15,2.01252,112.649
4535,4,2.25979,38.2912
2939,59,1.63734,151.474
1469,104,1.78991,78.4492
4210,32,0.96328,94.4267
4822,5,0.284897,51.9746
4653,23,0.407308,99.0669
4884,0,0,0
4885,0,0,0
4433,64,0.335149,80.6608
4927,0,0,0
4714,2,5.08354,164.795
4545,24,0.752611,144.622
4540,14,1.38271,22.0066
4950,4,0.224096,123.73
4918,5,0.837697,45.3952
4568,34,0.60396,73.1796
5004,2,0.396125,6.191
5058,0,0,0
5026,7,0.441251,13.0286
5116,3,0.869113,290.759
5055,4,1.56938,42.985
4840,24,0.789391,92.5191
4980,31,0.393489,40.1707
5020,27,0.390379,39.159
5220,1,0.153142,29.288
5245,1,1.06568,1.42
4274,36,1.54055,412.31
5252,13,0.623402,19.9073
5243,20,0.542933,35.6659
3791,115,0.760226,132.815
5420,1,0.56461,49.619
5324,13,0.691028,55.4515
5441,0,0,0
5254,20,0.84871,100.608
5483,1,0.872073,33.882
5448,2,1.76777,154.185
5404,6,1.5048,66.6717
4625,26,2.13065,55.072
5551,0,0,0
5564,0,0,0
5572,0,0,0
5616,0,0,0
5637,0,0,0
4382,67,1.08776,489.189
5458,19,0.704208,31.7571
5144,49,0.791956,79.9801
5592,22,0.356839,40.9716
5514,6,2.25278,824.849
5780,0,0,0
5783,0,0,0
5585,6,2.39173,325.664
5890,0,0,0
1368,193,1.34396,177.226
5664,32,0.352763,40.9599
5988,0,0,0
5829,14,0.506311,71.3497
6019,6,0.513784,56.1002
5869,9,1.57242,101.188
3039,119,1.43182,125.445
6035,12,1.24704,71.4476
6459,0,0,0
5236,55,1.15736,96.6193
5565,216,0.177236,260.584
6174,25,0.585163,40.6398
6546,0,0,0
6548,0,0,0
6256,32,0.475533,56.671
6576,15,0.149986,25.4276
6638,0,0,0
6669,0,0,0
5079,74,1.12795,100.563
4256,92,1.38542,160.901
6745,15,0.257278,40.2529
6820,0,0,0
6063,47,0.821643,66.1441
5723,68,0.79069,435.377
6531,17,1.22352,153.96
6830,19,0.224648,24.0781
6898,4,0.374503,18.9298
6953,4,0.145114,39.0783
6291,25,1.60959,43.962
5967,37,1.47897,82.1778
7070,0,0,0
7072,11,0.134189,15.7447
7125,0,0,0
7130,3,0.244832,184.953
7150,0,0,0
5930,59,1.07051,114.82
6905,33,0.536899,66.8048
7211,2,3.90156,8.855
6281,26,2.19224,74.0851
7155,9,1.33266,77.3112
7297,2,2.22371,12.2295
7390,8,0.331474,24.2474
6647,32,1.57334,59.2623
5707,418,0.214812,258.524
