id,time,size,level
0,0.554236,110.739000,0
1,0.560621,408.017000,0
2,0.140346,70.575000,1
3,0.896843,172.311000,0
4,0.147010,69.344000,1
5,0.140148,70.682000,1
6,0.138369,78.995000,1
7,0.139135,70.793000,1
8,0.425016,113.671000,1
9,0.777921,122.590000,1
10,0.139379,69.754000,1
11,0.133172,68.941000,1
12,0.316364,0.983000,1
13,0.161540,89.274000,1
14,0.134177,85.777000,1
15,0.803787,122.590000,1
16,0.266564,16.341000,0
17,0.874437,127.799000,1
18,0.137887,83.907000,1
19,0.405499,1.233000,0
20,0.444589,18.001000,0
21,0.530654,691.107000,0
22,0.143604,85.346000,1
23,0.652798,0.732000,0
24,0.133825,28.275000,1
25,0.140468,101.251000,1
26,0.454863,114.193000,1
27,0.791620,22.808000,0
28,0.301307,9.085000,1
29,0.139397,21.270000,1
30,0.138762,125.883000,1
31,0.837771,567.649000,0
32,0.847429,40.225000,0
33,0.161054,228.448000,1
34,0.130257,15.111000,1
35,0.131849,87.972000,1
36,0.767758,122.590000,1
37,0.396943,122.590000,1
38,1.049191,27.078000,0
39,0.679152,46.316000,1
40,0.144092,109.664000,1
41,1.095582,45.893000,0
42,0.138697,20.448000,1
43,0.140124,125.433000,1
44,1.119397,45.892000,0
45,0.160252,15.300000,1
46,0.133501,11.279000,1
47,1.234901,46.041000,0
48,0.133062,123.677000,1
49,1.282616,119.715000,0
50,0.161923,9.817000,1
51,0.128843,0.806000,1
52,1.375044,234.197000,0
53,1.392112,39.385000,0
54,0.568417,9.661000,1
56,0.157469,9.693000,1
55,0.527004,122.590000,1
57,0.130791,0.737000,1
58,0.504606,122.590000,1
59,0.274391,48.012000,1
60,0.129287,0.806000,1
61,0.374117,22.296000,0
62,0.262098,12.984000,1
63,0.127578,0.740000,1
64,0.990988,185.533000,0
65,0.826782,122.590000,1
66,0.131754,15.456000,1
67,0.412980,30.006000,1
68,0.132109,22.296000,1
69,0.208134,11.097000,1
70,0.477912,122.590000,1
71,0.128984,14.821000,1
72,0.467742,122.590000,1
73,0.139047,22.296000,1
74,0.189979,9.123000,1
75,0.139519,27.552000,1
77,0.254502,30.006000,1
76,0.860304,655.422000,0
78,0.133916,22.296000,1
79,1.155326,130.790000,1
80,0.135070,26.703000,1
81,0.133392,22.296000,1
82,0.478735,122.590000,1
83,0.452000,122.590000,1
84,0.133538,22.296000,1
85,0.136431,22.296000,1
86,1.807989,184.285000,0
87,0.762092,122.590000,1
88,0.493898,19.528000,1
89,0.364119,20.557000,1
90,0.476332,118.037000,1
91,0.152805,22.296000,1
92,0.486474,122.590000,1
93,1.544856,178.349000,0
94,0.164347,111.585000,1
95,0.140451,31.268000,1
96,0.460256,122.590000,1
97,0.266130,12.436000,1
99,2.912602,14.114000,0
98,0.450654,122.590000,1
100,0.361316,20.196000,1
101,0.133178,22.296000,1
102,0.234117,12.452000,1
103,0.132766,22.296000,1
104,2.138024,179.259000,0
105,0.456378,122.590000,1
106,0.425118,108.186000,1
107,0.137010,22.296000,1
108,0.335125,15.544000,1
109,0.468209,122.590000,1
110,0.363576,19.451000,1
111,0.238789,13.225000,1
112,0.462371,122.590000,1
113,0.774025,122.590000,1
114,0.133028,22.296000,1
115,0.761484,43.310000,0
116,0.131880,22.296000,1
117,0.205315,567.649000,1
118,2.355412,125.368000,1
119,3.622207,55.395000,0
120,0.236340,12.676000,1
121,0.263293,13.813000,1
122,2.206255,22.808000,1
123,0.458044,122.590000,1
124,0.135121,22.296000,1
126,0.342041,19.060000,1
125,0.133726,209.274000,1
127,0.145940,121.729000,1
128,2.159118,86.300000,1
129,0.157565,20.326000,1
130,0.454665,122.590000,1
131,0.133969,22.296000,1
132,0.235387,12.657000,1
133,0.130947,84.148000,1
134,0.278238,11.461000,1
135,0.223977,655.422000,1
136,0.696109,116.389000,1
137,0.134107,81.180000,1
138,0.181805,33.058000,1
139,0.373337,19.578000,1
140,0.376177,38.797000,1
141,0.247812,13.724000,1
142,0.205370,573.456000,1
143,0.136193,22.296000,1
144,0.267151,8.897000,1
145,0.814686,122.590000,1
146,1.415083,174.632000,1
147,0.138157,22.296000,1
148,0.549052,45.185000,1
149,0.487927,122.590000,1
150,0.238870,13.361000,1
151,0.134046,22.296000,1
152,0.274129,13.225000,1
153,0.397323,21.332000,1
154,0.133579,22.296000,1
155,0.232248,12.379000,1
156,0.248660,502.274000,1
157,0.483460,122.590000,1
158,0.993421,34.235000,1
159,0.138118,31.268000,1
160,0.321309,14.659000,1
161,0.195122,533.483000,1
162,0.647541,573.270000,1
163,0.238736,12.367000,1
164,2.642735,0.001000,1
165,0.133560,22.296000,1
166,0.552318,45.185000,1
167,0.255896,34.225000,1
168,0.411267,22.128000,1
169,0.146820,507.805000,1
170,0.960767,151.300000,1
171,0.132559,22.296000,1
172,0.238223,13.007000,1
173,0.268877,576.093000,1
174,0.149755,504.356000,1
175,0.334728,9.912000,1
176,0.229039,46.041000,1
177,0.134714,22.296000,1
178,0.925186,122.590000,1
179,0.580932,122.590000,1
180,0.286251,34.364000,1
181,1.309447,21.170000,0
182,0.426351,30.006000,1
183,0.136447,22.296000,1
184,0.172042,214.479000,1
185,0.238121,13.444000,1
186,0.220231,46.041000,1
187,0.459660,23.529000,1
188,0.133568,22.296000,1
189,0.148957,512.140000,1
190,0.262896,34.359000,1
191,0.366478,11.205000,1
192,0.135812,22.296000,1
193,0.239163,13.418000,1
194,0.593269,91.523000,1
195,0.217194,46.038000,1
196,0.191621,507.259000,1
197,0.133500,22.296000,1
198,0.163797,10.573000,1
199,0.425462,22.307000,1
200,0.144952,22.296000,1
201,0.190550,500.434000,1
202,0.661156,122.590000,1
203,0.536170,45.185000,1
204,1.890109,79.488000,1
205,0.230708,13.916000,1
206,0.476936,32.013000,1
207,0.132806,22.296000,1
208,0.196171,505.972000,1
209,0.996626,576.160000,1
210,0.133945,22.296000,1
211,0.147676,511.511000,1
212,0.132001,22.296000,1
213,1.096782,122.590000,1
214,0.131825,110.412000,1
215,0.133834,22.296000,1
216,0.476246,14.114000,1
217,0.146570,22.296000,1
218,0.654064,45.185000,1
219,1.030390,165.998000,1
220,0.513720,572.415000,1
221,0.182209,169.821000,1
222,1.045008,40.385000,1
223,0.193650,0.608000,1
224,1.250073,579.794000,1
225,1.698778,43.310000,1
226,0.823518,14.114000,1
227,0.228835,12.057000,1
229,0.584455,22.296000,0
230,1.011740,122.590000,1
228,0.703489,582.748000,1
231,1.492688,39.385000,0
232,0.259606,26.329000,1
233,0.269001,25.176000,1
234,0.426946,22.296000,1
235,0.772397,518.136000,1
236,0.555884,172.847000,1
237,1.972687,81.485000,1
238,1.199375,171.155000,1
239,0.823174,8.424000,1
240,0.195759,15.111000,1
241,0.133645,87.639000,1
242,0.202046,22.296000,1
243,0.868196,14.114000,1
244,0.204922,11.579000,1
245,0.223467,22.296000,1
246,0.456619,176.891000,1
247,0.226176,16.474000,1
248,0.559625,547.483000,1
249,0.258565,22.296000,1
250,2.314784,122.590000,1
251,4.829651,59.885000,1
252,0.236751,11.876000,1
253,1.405799,122.590000,1
254,0.248463,22.296000,1
255,0.400238,174.775000,1
256,0.393205,131.067000,1
257,0.222363,12.166000,1
258,0.181046,155.903000,1
259,0.238370,22.296000,1
260,0.979250,14.114000,1
261,0.292337,12.012000,1
262,0.282224,22.296000,1
263,2.816739,663.627000,0
264,0.362091,11.867000,1
265,2.022587,45.528000,0
266,0.827469,570.987000,1
267,1.792156,131.067000,1
268,0.409532,31.268000,1
269,4.580407,0.001000,1
270,0.343464,12.627000,1
271,0.930704,163.893000,1
272,0.303103,136.385000,1
273,0.327507,22.296000,1
274,2.068634,197.746000,1
275,0.280821,0.692000,1
276,0.716777,663.627000,1
277,0.265053,22.296000,1
278,0.254026,70.515000,1
279,1.373755,16.872000,1
280,0.294974,22.296000,1
281,0.280774,71.728000,1
282,2.033385,122.590000,1
284,0.688496,0.700000,1
283,0.909174,176.634000,1
285,0.573642,564.448000,1
286,0.338162,22.296000,1
287,0.324344,70.423000,1
288,0.248209,507.751000,1
289,0.234977,0.748000,1
290,0.270577,22.296000,1
291,0.262950,70.875000,1
292,0.215805,512.906000,1
294,0.307652,0.806000,1
293,0.492563,570.182000,1
295,0.191658,517.718000,1
296,3.438707,234.197000,0
297,0.258909,69.982000,1
298,0.306971,22.296000,1
299,1.917927,136.385000,1
300,1.142385,10.528000,1
301,0.181784,404.511000,1
302,0.238486,0.806000,1
303,0.264596,73.491000,1
304,0.275634,22.296000,1
305,0.229703,510.906000,1
306,1.016044,163.142000,1
307,0.564334,567.511000,1
308,0.239829,508.083000,1
309,0.379872,68.956000,1
310,0.389345,22.296000,1
311,2.556737,42.396000,0
312,3.741175,122.590000,1
313,0.232190,404.072000,1
314,2.403541,591.155000,1
315,0.543469,159.220000,1
316,0.153726,167.481000,1
317,0.952467,13.507000,1
318,0.481383,71.035000,1
319,0.128838,126.053000,1
320,1.078425,25.947000,1
321,0.837908,568.216000,1
322,0.195181,512.069000,1
323,0.760080,22.296000,1
324,0.357906,72.789000,1
325,0.327726,25.798000,1
326,0.208749,511.357000,1
327,10.400461,76.591000,1
328,9.837328,81.371000,1
329,8.859106,70.858000,1
330,0.413368,560.704000,1
331,0.207165,557.170000,1
332,0.357926,22.296000,1
333,0.363819,69.669000,1
334,0.968512,606.718000,1
335,0.961406,162.073000,1
336,0.847179,13.523000,1
337,0.388222,26.311000,1
338,0.215273,552.216000,1
339,0.172866,225.034000,1
340,0.336630,245.186000,1
341,0.294359,22.296000,1
342,0.299008,68.702000,1
343,0.207072,509.130000,1
344,0.271233,26.759000,1
345,11.789572,0.882000,0
346,0.238340,31.268000,1
347,0.237656,71.626000,1
348,0.654099,583.554000,1
349,0.617911,13.583000,1
350,0.377476,20.744000,1
