id,numcrawled,avgCrawlingTime,avgPageSize
23,0,0,0
19,1,0.301307,9.085
32,0,0,0
41,0,0,0
16,2,0.419702,30.808
44,0,0,0
64,0,0,0
49,0,0,0
119,0,0,0
38,20,0.237597,12.5938
61,34,0.1372,23.1403
181,2,0.595117,45.185
231,0,0,0
115,6,0.720069,31.4862
265,0,0,0
311,0,0,0
345,0,0,0
20,49,0.299616,16.2375
3,28,0.637412,158.061
229,33,0.31614,22.8398
449,0,0,0
47,10,2.8954,45.6855
515,6,0.34235,33.566
1,22,2.1483,122.59
99,48,0.905339,13.8786
31,60,0.905114,336.488
385,56,0.691669,379.008
76,96,0.632967,378.324
1104,0,0,0
1062,2,2.48905,45.185
263,79,0.759845,382.191
422,97,0.721986,365.77
21,170,0.55629,242.355
93,56,1.86903,172.858
576,60,1.3865,174.912
535,122,0.719543,277.082
86,73,1.67773,184.769
52,47,2.66469,228.126
296,22,5.37053,248.663
0,164,0.805796,77.893
53,36,3.82801,10.0767
2161,26,0.329855,41.7585
2068,55,0.298644,229.184
799,76,1.32822,170.25
2329,0,0,0
1141,53,1.60002,147.32
2353,0,0,0
1935,7,4.1713,147.788
1176,55,1.62538,170.537
1794,6,6.96778,146.888
401,120,1.21125,88.0949
2472,7,0.595381,39.7109
2020,6,5.56384,136.499
2587,0,0,0
1231,50,1.92947,132.74
2595,0,0,0
2325,82,0.299971,222.292
1606,61,1.37447,154.198
104,140,1.28729,155.798
27,45,4.13561,33.0568
2625,4,5.15573,146.642
2740,5,4.45976,156.955
2482,72,0.628495,284.516
1966,58,1.52565,148.299
1660,56,2.08098,130.907
2644,12,3.41916,160.796
2631,7,5.62008,146.742
3107,0,0,0
2626,7,5.84444,149.377
2009,55,1.66884,172.434
2680,6,5.65979,129.139
426,100,2.05114,71.7518
2817,5,7.78323,138.527
3098,4,2.94118,150.558
2058,58,1.69961,156.136
3135,4,2.2837,152.009
1152,45,2.41962,123.273
3207,1,3.22207,176.415
2468,22,3.29344,122.59
3237,0,0,0
3154,2,3.98296,175.523
3239,1,3.82475,176.415
2966,6,4.25609,159.64
3151,10,1.48951,21.5224
3289,0,0,0
3291,0,0,0
2388,61,1.50556,159.067
3396,0,0,0
3435,0,0,0
3226,5,5.73098,167.076
2884,17,3.82597,148.34
3480,0,0,0
3317,18,1.32557,216.538
2832,20,4.41059,154.423
3093,27,2.25591,144.568
3141,10,5.58145,168.055
2344,50,2.22042,124.577
3605,0,0,0
3102,16,3.92256,171.969
3651,0,0,0
3658,0,0,0
3003,41,1.87332,168.341
3519,26,0.555327,37.9711
3676,0,0,0
3264,53,0.97513,198.695
2394,66,2.03898,139.009
3719,7,0.397158,33.1339
3628,16,0.640282,58.6049
3682,9,0.599641,54.4882
3470,14,2.24861,166.566
3717,4,1.37273,122.59
3701,5,1.37807,122.59
3830,0,0,0
3834,0,0,0
3699,9,0.873911,58.6376
3854,0,0,0
3863,0,0,0
3869,0,0,0
3874,0,0,0
